Appliance,Minimum,Maximum
1/2 inch drill,750,750
1/4 inch drill,250,250
1 inch drill,1000,1000
100 watt incandescent bulb,100,100
12 inch black and white TV,20,20
12 inch chain saw,1100,1100
14 inch band saw,1100,1100
15 cu. ft. (Chest) Freezer,45,45
15 cu. ft. (Upright) Freezer,52,52
16 cu. ft. (AC) Refrigerator,50,75
19 inch color TV,40,100
20 cu. ft. (AC) Refrigerator,59,75
20 watt DC compact fluor.,22,22
25 watt compact fluor. bulb,28,28
25 colour TV,150,150
3 inch belt sander,1000,1000
40 watt DC halogen,40,40
50 watt DC incandescent,50,50
60W light bulb (Incandescent),60,60
7-1/4 inch circular saw,900,900
8-1/4 inch circular saw,1400,1400
9 inch disc sander,1200,1200
Aquarium Equipment,24,24
Blender,300,300
Boom Box,8,8
Cable Box,20,140
Can Opener,100,100
CD Player,7,7
Ceiling Fan,25,100
Cell Phone - recharge,2,5
Central Air Conditioner NA,5000,5000
CFL Bulb (100-watt equivalent),30,30
CFL Bulb (40-watt equivalent),11,11
CFL Bulb (60-watt equivalent),18,18
CFL Bulb (75-watt equivalent),20,20
Clock Radio,1,7
Clothes Dryer,1000,4000
Clothes Dryer - Gas Heated,300,400
Coffee Machine/Maker,500,1500
Cordless Drill Charger,70,150
Curling Iron,90,90
Dehumidifier,350,350
Desktop Computer (Gaming),400,1000
Desktop Computer (Standard home/business),80,450
Dishwasher,1200,1500
Electric blanket,200,200
Electric Clothes Dryer NA,3400,3400
Electric Heater Fan,2000,3000
Electric Kettle,1200,3000
Electric Mower,1500,1500
Electric Shaver,15,20
Engine Block Heater NA,150,1000
Espresso Machine,360,360
Food Blender,300,400
Fridge / Freezer,150,400
Furnace Blower,300,1000
Gaming Console,20,180
Garage Door Opener,400,400
Hair Blow dryer,300,2500
Halogen Lamps,300,300
Hedge trimmer,450,450
Home Air Conditioner,1000,4000
Home Internet Router,5,15
Hot Plate,1200,1200
Humidifier,300,1000
Inkjet Printer,20,30
Inverter Air conditioner,1300,1800
Iron,750,1100
Laptop,40,250
Lawnmower,1000,1400
LCD Monitor,80,150
LCD TV in sleep mode,3,3
LCD TV in use,90,250
LED Light Bulb,7,10
LED TV in sleep mode,0.3,0.3
LED TV in use,20,60
Microwave,500,1700
MP3 Player - recharge,0.25,0.4
Oven,2000,3000
Plasma TV in sleep mode,3,3
Plasma TV in use,261,344
Pool Pump,1000,1000
Popcorn Popper,1400,1400
Portable Fan,100,100
Portable Heater ,1500,1500
Portable Spa,4350,4350
Power Shower,7500,10500
Printer (Inkjet),13,13
Printer (Laser),250,250
Radio Alarm,3,6
Radiotelephone - Receive,5,5
Radiotelephone - Transmit,40,150
Rice Cooker,200,250
Room Air Conditioner ,1100,1100
Satellite dish,30,30
Scanner,10,18
Shaver,8,15
Sink Waste Disposal,450,450
Slow Cooker,200,200
Smart Phone Charger,4,7
Space Heater,1320,1320
Sprinkler System,11,11
Standard TV,188,188
Stereo,10,60
Stock Tank Heater NA,100,100
Strimmer,300,500
Submersible Water Pump,400,400
Table Fan,10,25
Tablet Charger,10,15
Tablet Computer,5,10
Toaster,800,1800
Toaster oven,1200,1200
Vacuum Cleaner,200,800
Video Game Player,195,195
Washing Machine,255,500
Water Feature,35,35
Water Filter and Cooler,70,100
Water heater,479,479
Waterbed Heater NA,400,400
Waterpik,100,100
Weed eater,500,500
Well Pump (1/3-1 HP),480,1200
Well Pump (1/3-1HP),480,1200
Smart Phone (Charging),5,5
PS4,90,150
Xbox One,70,120
Wii U,35,35
PS3 Slim,85,85
PS3 Original,190,190
Xbox 360 S,90,90
Xbox 360 Original,180,180
Wii,40,40
PS4 Standby,10,10
PS4 Standby (Downloading),70,70
PS4 Idle on Menu,90,90
PS4 Idle with Disc,95,95
PS4 Blue-Ray,95,95
PS4 Netflix,93,93
PS4 Game Install,115,115
PS4 Gaming,130,150
PS4 Charging Controller,4,4
Wi-Fi Router,6,6
Cordless Phone,2,2
